t,D0.2,D0.5,D0.8,D1.0,D1.2
15.887943971985992,1.0400762387146396,0.9996787287125586,1.000003436048366,0.9999978741609343,0.9997217407704424
15.897948974487242,1.0401339445526803,0.9996825354787967,1.0000034304935816,0.9999978940770322,0.9997232308612729
15.907953976988495,1.0401874105641034,0.999686335967741,1.0000034246863543,0.9999979138072758,0.9997247129725992
15.917958979489745,1.0402366483415797,0.9996901298633534,1.0000034186312696,0.9999979333533917,0.999726187147152
15.927963981990995,1.0402816698538762,0.9996939168533985,1.0000034123328652,0.9999979527170907,0.9997276534274331
15.937968984492246,1.0403224874431578,0.9996976966294373,1.0000034057956304,0.9999979719000676,0.9997291118557166
15.947973986993496,1.0403591138222639,0.9997014688868199,1.0000033990240071,0.9999979909040015,0.9997305624740502
15.957978989494746,1.0403915620719568,0.9997052333246779,1.00000339202239,0.9999980097305563,0.9997320053242568
15.967983991995997,1.0404198456381464,0.999708989645917,1.000003384795127,0.9999980283813802,0.9997334404479348
15.977988994497249,1.0404439783290877,0.999712737557209,1.0000033773465191,0.9999980468581061,0.9997348678864603
15.9879939969985,1.0404639743125554,0.9997164767689832,1.0000033696808208,0.9999980651623521,0.9997362876809875
15.99799899949975,1.040479848112991,0.9997202069954184,1.000003361802241,0.9999980832957212,0.9997376998724505
16.008004002001,1.040491614608629,0.9997239279544334,1.0000033537149429,0.9999981012598014,0.999739104501564
16.01800900450225,1.0404992890285958,0.9997276393676786,1.0000033454230437,0.9999981190561663,0.9997405016088247
16.028014007003502,1.0405028869499884,0.9997313409605257,1.0000033369306163,0.9999981366863749,0.9997418912345124
16.03801900950475,1.0405024242949275,0.9997350324620589,1.0000033282416885,0.9999981541519717,0.9997432734186914
16.048024012006003,1.040497917327589,0.999738713605064,1.0000033193602436,0.9999981714544868,0.9997446482012113
16.05802901450725,1.0404893826512136,0.9997423841260192,1.0000033102902208,0.9999981885954363,0.9997460156217083
16.068034017008504,1.0404768372050934,0.9997460437650837,1.0000033010355158,0.9999982055763225,0.9997473757196063
16.078039019509756,1.0404602982615376,0.9997496922660875,1.0000032915999801,0.9999982223986332,0.9997487285341182
16.088044022011005,1.040439783422817,0.9997533293765198,1.0000032819874225,0.9999982390638431,0.9997500741042469
16.098049024512257,1.0404153106180876,0.9997569548475186,1.0000032722016088,0.9999982555734127,0.9997514124687863
16.108054027013505,1.040386898100294,0.9997605684338581,1.000003262246262,0.9999982719287894,0.9997527436663227
16.118059029514757,1.0403545644430525,0.9997641698939378,1.0000032521250632,0.999998288131407,0.9997540677352359
16.128064032016006,1.0403183285375153,0.9997677589897701,1.0000032418416511,0.9999983041826861,0.9997553847136997
16.138069034517258,1.0402782095892147,0.9997713354869681,1.000003231399623,0.9999983200840341,0.9997566946396841
16.14807403701851,1.0402342271148888,0.9997748991547328,1.0000032208025347,0.9999983358368454,0.9997579975509552
16.15807903951976,1.0401864009392892,0.9997784497658412,1.000003210053901,0.9999983514425015,0.9997592934850772
16.16808404202101,1.0401347511919699,0.9997819870966321,1.0000031991571958,0.9999983669023712,0.999760582479413
16.17808904452226,1.0400792983040592,0.9997855109269942,1.0000031881158526,0.9999983822178105,0.9997618645711256
16.18809404702351,1.0400200630050143,0.9997890210403516,1.000003176933265,0.9999983973901628,0.9997631397971787
16.19809904952476,1.0399570663193585,0.9997925172236509,1.0000031656127861,0.9999984124207594,0.9997644081943382
16.208104052026012,1.0398903295634028,0.9997959992673472,1.0000031541577303,0.9999984273109189,0.9997656697991734
16.218109054527265,1.0398198743419507,0.9997994669653897,1.000003142571372,0.9999984420619479,0.9997669246480572
16.228114057028513,1.039745722544988,0.9998029201152078,1.0000031308569468,0.9999984566751408,0.9997681727771681
16.238119059529765,1.0396678963443566,0.9998063585176966,1.000003119017652,0.99999847115178,0.999769414222491
16.248124062031014,1.039586418190414,0.999809781977202,1.000003107056646,0.9999984854931362,0.9997706490198177
16.258129064532266,1.0395013108086781,0.9998131903015063,1.0000030949770495,0.9999984997004682,0.9997718772047486
16.268134067033515,1.0394125971964583,0.9998165833018123,1.0000030827819455,0.999998513775023,0.9997730988126933
16.278139069534767,1.039320300619472,0.9998199607927291,1.0000030704743792,0.9999985277180364,0.9997743138788718
16.28814407203602,1.0392244446084484,0.9998233225922556,1.0000030580573587,0.9999985415307325,0.9997755224383158
16.298149074537267,1.0391250529557199,0.9998266685217658,1.0000030455338553,0.9999985552143242,0.999776724525869
16.30815407703852,1.0390221497117997,0.9998299984059926,1.0000030329068037,0.999998568770013,0.9997779201761886
16.318159079539768,1.0389157591819487,0.9998333120730116,1.000003020179102,0.9999985821989894,0.9997791094237464
16.32816408204102,1.0388059059227293,0.9998366093542254,1.0000030073536124,0.9999985955024329,0.9997802923028294
16.33816908454227,1.0386926147385487,0.9998398900843467,1.0000029944331617,0.9999986086815119,0.9997814688475412
16.34817408704352,1.0385759106781918,0.9998431541013825,1.000002981420541,0.9999986217373843,0.9997826390918024
16.358179089544773,1.0384558190313415,0.9998464012466168,1.0000029683185057,0.9999986346711969,0.9997838030693524
16.36818409204602,1.0383323653250913,0.9998496313645944,1.0000029551297773,0.9999986474840861,0.9997849608137498
