w,mag_db,phase_deg
0.04243389083228771,-0.00781302674419648,-2.4298251431600475
0.0430914046573448,-0.008056802376723906,-2.467429144629205
0.0437591066697602,-0.008308176823102581,-2.5056136439773566
0.04443715473566187,-0.008567386487974518,-2.5443875335309927
0.04512570916731599,-0.00883467510154258,-2.583759838585578
0.0458249327610299,-0.009110293944727194,-2.623739719240141
0.04653499083564233,-0.009394502081126107,-2.6643364722497616
0.047256051271610144,-0.009687566595968563,-2.7055595328957627
0.04798828455070055,-0.00998976284228422,-2.7474184768733485
0.048731863796298514,-0.010301374694480905,-2.7899230221964486
0.049486964814338674,-0.010622694809541812,-2.8330830311194704
0.05025376613487144,-0.010954024896095227,-2.8769085120756346
0.05103244905427328,-0.01129567599152801,-2.9214096216315624
0.051823197678110874,-0.011647968747425205,-2.966596666457704
