w,re,im
67.304909,1,-0.014857757
68.87529,1,-0.014518995
70.482311,1,-0.014187957
72.126827,1,-0.013864467
73.809714,1,-0.013548352
75.531867,1,-0.013239445
77.294201,1,-0.012937581
79.097655,1,-0.0126426
80.943187,1,-0.012354344
82.83178,1,-0.012072661
84.764438,1,-0.0117974
86.74219,1,-0.011528415
88.766088,1,-0.011265564
90.837207,1,-0.011008705
92.956651,1,-0.010757703
95.125546,1,-0.010512423
97.345046,1,-0.010272736
99.616333,1,-0.010038514
101.94061,1,-0.0098096329
104.31913,1,-0.0095859699
106.75313,1,-0.0093674065
109.24393,1,-0.0091538264
111.79285,1,-0.008945116
114.40124,1,-0.0087411643
117.07048,1,-0.0085418627
119.80201,1,-0.0083471053
122.59727,1,-0.0081567884
125.45775,1,-0.0079708109
128.38497,1,-0.0077890736
131.38049,1,-0.0076114801
134.44591,1,-0.0074379357
137.58284,1,-0.0072683482
140.79297,1,-0.0071026274
144.078,1,-0.006940685
147.43967,1,-0.006782435
150.87978,1,-0.0066277932
154.40016,1,-0.0064766772
158.00268,1,-0.0063290068
161.68925,1,-0.0061847032
165.46183,1,-0.0060436899
169.32244,1,-0.0059058917
173.27313,1,-0.0057712353
177.31599,1,-0.0056396492
181.45319,1,-0.0055110632
185.68692,1,-0.0053854091
190.01942,1,-0.0052626199
194.45302,1,-0.0051426304
198.99006,1,-0.0050253766
203.63296,1,-0.0049107963
208.38419,1,-0.0047988285
213.24628,1,-0.0046894135
218.22182,1,-0.0045824933
223.31344,1,-0.0044780109
228.52386,1,-0.0043759107
233.85585,1,-0.0042761384
239.31226,1,-0.004178641
244.89597,1,-0.0040833665
250.60996,1,-0.0039902644
256.45728,1,-0.003899285
262.44102,1,-0.0038103799
268.56438,1,-0.003723502
274.83061,1,-0.0036386048
281.24305,1,-0.0035556434
287.80511,1,-0.0034745735
294.52027,1,-0.003395352
301.39212,1,-0.0033179368
308.4243,1,-0.0032422867
315.62055,1,-0.0031683615
322.98471,1,-0.0030961217
330.5207,1,-0.0030255291
338.23252,1,-0.002956546
346.12427,1,-0.0028891357
354.20016,1,-0.0028232625
362.46447,1,-0.0027588911
370.92161,1,-0.0026959874
379.57608,1,-0.002634518
388.43247,1,-0.0025744501
397.4955,1,-0.0025157517
406.77,1,-0.0024583917
416.26089,1,-0.0024023395
425.97323,1,-0.0023475654
435.91217,1,-0.0022940401
446.08302,1,-0.0022417352
456.49118,1,-0.0021906228
467.14218,1,-0.0021406759
478.04169,1,-0.0020918677
489.19552,1,-0.0020441724
500.60959,1,-0.0019975646
512.28998,1,-0.0019520194
524.2429,1,-0.0019075127
536.4747,1,-0.0018640208
548.99191,1,-0.0018215205
561.80117,1,-0.0017799892
574.9093,1,-0.0017394048
588.32327,1,-0.0016997458
602.05022,1,-0.001660991
616.09746,1,-0.0016231198
630.47244,1,-0.0015861121
645.18284,1,-0.0015499482
660.23645,1,-0.0015146089
675.64131,1,-0.0014800753
691.40559,1,-0.0014463291
707.5377,1,-0.0014133523
724.0462,1,-0.0013811273
740.93988,1,-0.0013496372
758.22773,1,-0.001318865
775.91895,1,-0.0012887944
794.02295,1,-0.0012594094
812.54935,1,-0.0012306945
831.50802,1,-0.0012026342
850.90904,1,-0.0011752137
870.76273,1,-0.0011484185
891.07965,1,-0.0011222341
911.87062,1,-0.0010966468
933.14668,1,-0.0010716429
954.91917,1,-0.0010472091
977.19966,1,-0.0010233323
1000,1,-0.001
